date_time,id_site,Tpic,Dir,Etal,Tz,Hm0,Ts1,Ts2,Tc,Tav,Tint,Tp,EPS2,EPS4,Qp,S2,Tref,Tw,Batt,timestamp
2019-01-03 07:25:00,8,6.6700000000,186.9000000000,64.5000000000,4.6000000000,0.5800000000,8.0300000000,5.1600000000,3.0400000000,5.9200000000,5.3100000000,12.5100000000,0.5172750000,0.7489200000,1.3324410000,0.0175880000,24.8500000000,13.7500000000,7.0000000000,2019-01-03 07:30:00
2019-01-03 07:55:00,8,8.3300000000,116.6000000000,22.4000000000,3.3900000000,0.6400000000,5.9700000000,3.8400000000,2.4000000000,4.4700000000,4.7900000000,9.2800000000,0.5411560000,0.7033840000,1.3017960000,0.0357030000,24.8500000000,13.9500000000,7.0000000000,2019-01-03 08:00:00
2019-01-03 08:25:00,8,7.6900000000,115.2000000000,16.1000000000,3.9200000000,0.6800000000,6.5500000000,4.5200000000,2.5400000000,5.1700000000,6.0300000000,9.4900000000,0.5739280000,0.7612140000,1.5339280000,0.0283440000,24.8500000000,14.0000000000,7.0000000000,2019-01-03 08:30:00
2019-01-03 08:55:00,8,8.3300000000,115.2000000000,17.9000000000,4.0800000000,0.7200000000,6.7900000000,4.7400000000,2.5400000000,5.4200000000,6.9300000000,9.7100000000,0.5947730000,0.7823800000,1.8055870000,0.0277040000,24.8500000000,14.0000000000,7.0000000000,2019-01-03 09:00:00
2019-01-03 09:25:00,8,8.3300000000,116.6000000000,18.4000000000,3.9200000000,0.7000000000,6.7800000000,4.5800000000,2.4200000000,5.3100000000,6.7500000000,10.0300000000,0.6233080000,0.7831080000,1.7298920000,0.0291780000,24.8500000000,14.0500000000,7.0000000000,2019-01-03 09:30:00
2019-01-03 09:55:00,8,7.6900000000,115.2000000000,16.1000000000,4.3500000000,0.7600000000,6.9100000000,5.0400000000,2.6400000000,5.6800000000,8.1900000000,9.4600000000,0.5897500000,0.7942050000,2.3527380000,0.0257720000,24.8500000000,14.1000000000,7.0000000000,2019-01-03 10:00:00
2019-01-03 10:25:00,8,7.6900000000,113.7000000000,13.4000000000,4.3500000000,0.7400000000,6.4400000000,4.8600000000,2.8000000000,5.3800000000,6.9400000000,8.5300000000,0.5170030000,0.7604530000,2.1003880000,0.0250940000,24.8500000000,14.1000000000,7.0000000000,2019-01-03 10:30:00
2019-01-03 10:55:00,8,7.6900000000,115.2000000000,17.0000000000,4.7600000000,0.7100000000,6.8000000000,5.3000000000,3.1300000000,5.7900000000,7.0400000000,8.7300000000,0.4915540000,0.7534820000,2.0154800000,0.0200710000,24.8500000000,14.2000000000,7.0000000000,2019-01-03 11:00:00
2019-01-03 11:25:00,8,7.1400000000,113.7000000000,18.8000000000,4.7600000000,0.6200000000,6.9200000000,5.2900000000,3.1700000000,5.8100000000,6.6600000000,9.0500000000,0.4886860000,0.7451280000,1.8198400000,0.0175270000,24.8500000000,14.2000000000,7.0000000000,2019-01-03 11:30:00
2019-01-03 11:55:00,8,7.1400000000,115.2000000000,19.2000000000,4.8200000000,0.6100000000,7.1100000000,5.3700000000,3.0900000000,5.9300000000,6.6800000000,9.4200000000,0.5137650000,0.7612610000,1.6838060000,0.0168360000,24.8500000000,14.2500000000,7.0000000000,2019-01-03 12:00:00
2019-01-03 12:25:00,8,7.1400000000,118.0000000000,16.1000000000,4.9400000000,0.6500000000,7.0000000000,5.4800000000,3.2400000000,5.9800000000,7.3600000000,8.9500000000,0.4854070000,0.7544020000,2.1807630000,0.0170860000,24.8500000000,14.3000000000,7.0000000000,2019-01-03 12:30:00
2019-01-03 12:55:00,8,7.1400000000,113.7000000000,21.0000000000,4.7600000000,0.5800000000,6.8900000000,5.2700000000,3.1600000000,5.7900000000,6.1400000000,9.0200000000,0.4877210000,0.7446710000,1.6029170000,0.0163960000,24.8500000000,14.3000000000,7.0000000000,2019-01-03 13:00:00
2019-01-03 13:25:00,8,6.6700000000,113.7000000000,19.7000000000,4.4000000000,0.6200000000,6.5100000000,4.8600000000,3.0900000000,5.3800000000,5.6700000000,8.7200000000,0.4770180000,0.7093380000,1.5706930000,0.0205700000,24.8500000000,14.3500000000,7.0000000000,2019-01-03 13:30:00
2019-01-03 13:55:00,8,7.1400000000,112.3000000000,17.9000000000,4.1200000000,0.7200000000,6.1200000000,4.5100000000,3.0300000000,5.0000000000,5.0500000000,8.3000000000,0.4505350000,0.6771540000,1.5537030000,0.0271410000,24.8500000000,14.3500000000,7.0000000000,2019-01-03 14:00:00
2019-01-03 14:25:00,8,4.0000000000,84.2000000000,43.4000000000,3.9600000000,0.7300000000,5.7200000000,4.2500000000,3.0800000000,4.6600000000,4.3900000000,7.6900000000,0.3998750000,0.6249840000,1.7148170000,0.0298350000,24.8500000000,14.3000000000,7.0000000000,2019-01-03 14:30:00
2019-01-03 14:55:00,8,7.1400000000,118.0000000000,24.6000000000,3.9600000000,0.7300000000,5.9100000000,4.3000000000,3.0000000000,4.7600000000,4.5100000000,8.1000000000,0.4268330000,0.6535780000,1.5652290000,0.0298350000,24.8500000000,14.3500000000,7.0000000000,2019-01-03 15:00:00
2019-01-03 15:25:00,8,4.3500000000,73.0000000000,26.9000000000,3.9600000000,0.7300000000,5.6500000000,4.2500000000,3.0800000000,4.6400000000,4.4800000000,7.5200000000,0.3933070000,0.6274110000,1.8105930000,0.0298350000,24.8500000000,14.3000000000,7.0000000000,2019-01-03 15:30:00
2019-01-03 15:55:00,8,4.1700000000,77.2000000000,32.7000000000,4.0000000000,0.7500000000,5.5000000000,4.2400000000,3.1800000000,4.5800000000,4.6700000000,7.1300000000,0.3625390000,0.6027060000,2.1956030000,0.0300480000,24.8500000000,14.3000000000,7.0000000000,2019-01-03 16:00:00
2019-01-03 16:25:00,8,4.1700000000,71.6000000000,31.8000000000,3.8800000000,0.7600000000,5.3100000000,4.1400000000,3.1000000000,4.4600000000,4.5500000000,6.8100000000,0.3634180000,0.6019970000,2.1632230000,0.0323030000,24.8500000000,14.3000000000,7.0000000000,2019-01-03 16:30:00
2019-01-03 16:55:00,8,3.8500000000,68.7000000000,45.2000000000,3.7700000000,0.6900000000,5.5000000000,4.0700000000,2.9200000000,4.4700000000,4.1200000000,7.4400000000,0.4054450000,0.6339230000,1.6349920000,0.0310610000,24.8500000000,14.2500000000,7.0000000000,2019-01-03 17:00:00
2019-01-03 17:25:00,8,3.8500000000,68.7000000000,34.5000000000,3.7400000000,0.7200000000,5.4500000000,3.9900000000,2.9100000000,4.3900000000,4.3200000000,7.4500000000,0.3954000000,0.6195590000,1.9743400000,0.0330260000,24.8500000000,14.2500000000,7.0000000000,2019-01-03 17:30:00
2019-01-03 17:55:00,8,3.8500000000,60.3000000000,25.5000000000,3.6700000000,0.7400000000,5.3100000000,3.9100000000,2.9100000000,4.2900000000,4.1700000000,7.2200000000,0.3841810000,0.6031820000,1.9912780000,0.0352240000,24.8500000000,14.1500000000,7.0000000000,2019-01-03 18:00:00
